Tanggal,Harga
01/ 01/ 2018,"15,450"
01/ 02/ 2018,"15,950"
01/ 03/ 2018,"15,900"
02/ 04/ 2018,"15,800"
01/ 05/ 2018,"17,150"
01/ 06/ 2018,-
02/ 07/ 2018,"15,650"
01/ 08/ 2018,"15,500"
03/ 09/ 2018,"15,400"
01/ 10/ 2018,"15,200"
01/ 11/ 2018,"15,150"
03/ 12/ 2018,"15,050"
01/ 01/ 2019,"14,750"
01/ 02/ 2019,"14,750"
01/ 03/ 2019,"14,700"
01/ 04/ 2019,"14,750"
01/ 05/ 2019,"15,550"
03/ 06/ 2019,"15,050"
01/ 07/ 2019,"15,000"
01/ 08/ 2019,"15,000"
02/ 09/ 2019,"14,900"
01/ 10/ 2019,"14,850"
01/ 11/ 2019,"14,850"
02/ 12/ 2019,"14,800"
01/ 01/ 2020,-
03/ 02/ 2020,"15,100"
02/ 03/ 2020,"15,450"
01/ 04/ 2020,"17,450"
01/ 05/ 2020,"16,750"
01/ 06/ 2020,"15,750"
01/ 07/ 2020,"17,100"
03/ 08/ 2020,"16,450"
01/ 09/ 2020,"16,200"
01/ 10/ 2020,"15,950"
02/ 11/ 2020,"15,800"
01/ 12/ 2020,"15,800"
01/ 01/ 2021,-
01/ 02/ 2021,"15,650"
01/ 03/ 2021,"15,600"
01/ 04/ 2021,"15,600"
03/ 05/ 2021,"15,500"
01/ 06/ 2021,"16,600"
01/ 07/ 2021,"15,450"
02/ 08/ 2021,"15,350"
01/ 09/ 2021,"15,300"
01/ 10/ 2021,"15,250"
01/ 11/ 2021,"15,300"
01/ 12/ 2021,"15,250"
03/ 01/ 2022,"15,250"
01/ 02/ 2022,"14,000"
01/ 03/ 2022,"15,450"
01/ 04/ 2022,"15,700"
02/ 05/ 2022,-
01/ 06/ 2022,-
01/ 07/ 2022,"16,000"
01/ 08/ 2022,"15,950"
01/ 09/ 2022,"15,850"
03/ 10/ 2022,"15,850"
01/ 11/ 2022,"15,900"
01/ 12/ 2022,"15,850"
02/ 01/ 2023,"15,900"
01/ 02/ 2023,"15,850"
01/ 03/ 2023,"15,850"
03/ 04/ 2023,"15,900"
01/ 05/ 2023,"16,000"
01/ 06/ 2023,"16,050"
03/ 07/ 2023,"16,050"
01/ 08/ 2023,"16,100"
01/ 09/ 2023,"16,150"
02/ 10/ 2023,"16,450"
01/ 11/ 2023,"16,750"
01/ 12/ 2023,"17,650"
01/ 01/ 2024,"18,000"
01/ 02/ 2024,"18,150"
01/ 03/ 2024,"18,400"
01/ 04/ 2024,"18,700"
01/ 05/ 2024,"19,000"
03/ 06/ 2024,"19,250"
01/ 07/ 2024,"19,150"
01/ 08/ 2024,"19,200"
02/ 09/ 2024,"19,200"
01/ 10/ 2024,"19,250"
